tconst,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,studio,domestic_gross,foreign_gross,release_year
tt1634286,5.3,996,Grassroots,Grassroots,2012,98.0,"Comedy,Drama",Gold.,12400.0,78430930.02516411,2012
tt1646114,6.9,2013,My Joy,Schaste moe,2010,127.0,"Adventure,Drama",KL,6300.0,78430930.02516411,2011
tt1660302,6.8,2516,Our Children,À perdre la raison,2012,111.0,Drama,Distrib.,23200.0,78430930.02516411,2013
tt1679335,6.5,63295,Trolls,Trolls,2016,92.0,"Adventure,Animation,Comedy",Fox,153700000.0,193200000.0,2016
tt1680679,7.0,2619,Breathing,Atmen,2011,94.0,Drama,KL,4600.0,803000.0,2012
tt1692325,8.7,17,Eyes Wide Open,Eyes Wide Open,2010,110.0,"Documentary,History",NAV,26300.0,250000.0,2010
tt1710417,5.5,7966,Lola Versus,Lola Versus,2012,87.0,Comedy,FoxS,253000.0,78430930.02516411,2012
tt1714915,7.3,80984,Only Lovers Left Alive,Only Lovers Left Alive,2013,123.0,"Comedy,Drama,Fantasy",SPC,1900000.0,78430930.02516411,2014
tt1723811,7.2,171353,Shame,Shame,2011,101.0,Drama,FoxS,3900000.0,13800000.0,2011
tt1763303,6.9,62589,The First Time,The First Time,2012,95.0,"Comedy,Drama,Romance",Gold.,22800.0,78430930.02516411,2012
tt1781840,6.3,2686,Jayne Mansfield's Car,Jayne Mansfield's Car,2012,122.0,Drama,Anch.,14800.0,78430930.02516411,2013
tt1840960,6.7,6,Three,Three,2010,87.0,"Drama,Thriller",WGUSA,120000.0,78430930.02516411,2016
tt7074886,6.2,6372,The Front Runner,The Front Runner,2018,113.0,"Biography,Drama,History",Sony,2000000.0,1200000.0,2018
tt7156436,5.6,431,Take Point,Take Point,2018,119.0,Action,CJ,112000.0,78430930.02516411,2018
tt7213936,7.5,3040,What Will People Say,Hva vil folk si,2017,106.0,Drama,KL,44200.0,78430930.02516411,2018
tt8851190,8.1,26,Red,Red,2018,90.0,Drama,Sum.,90400000.0,108600000.0,2010
